Country,Operator,Network Code,Display Text
Slovak Rebublic,Orange Slovensko,231-01,Orange
Slovenia,Mobitel,293-41,SI-GSM
Slovenia,SI Mobil (Vodafone),293-40,SI voda
Slovenia,Western Wireless Int (VEGA),293-70,VEGA 070
South Africa,MTN,655-10,MTN-SA
South Africa,CellC,655-07,CellC SA
South Africa,Vodacom,655-01,VODA SA
Spain,Retevision Movil (Amena),214-03,AMENA
Spain,Telefonica Moviles (Movistar),214-07,MSTAR
Spain,Vodafone Esapna,214-01,E VODAF
Sri Lanka,Celltel,413-03,SRI CELLTEL
Sri Lanka,MTN Networks,413-02,SRI DIALOG
S:t Lucia,AT&T Wireless,358-030,AT&T
S:t Lucia,Digicel,,Digicel
S:t Vincent & The Grenadines,AT&T Wireless,360-010,AT&T
S:t Vincent & The Grenadines,Digicel,,Digicel
Sudan,Mobitel Sudan,634-01,MobiTel SDN
Sweden,Hi3G (“3”),240-02,3
Sweden,Tele2 (COMVIQ),240-07,S IQ
Sweden,TeliaSonera Mobile,240-01,TELIA S
Sweden,Telenor,240-08,Telenor SE
Switzerland,Orange,228-03,ORANGE
Switzerland,Swisscom Mobile,228-01,SWISS
Switzerland,TDC Switzerland (Sunrise),228-02,sunrise
Syria,Spacetel 94,417-02,94 SYRIA
Syria,Syriatel Mobile Telecom,417-01,SYRIATEL
Taiwan,Taiwan Cellular Corporation,466-97,TCC
Taiwan,Far EasTone,466-01,Far EasTone
Taiwan,Chunghwa Telecom,466-92,TW CHT
Taiwan,Mobitai,466-93,TW MOB
Taiwan,KG Telecom,466-88,KGT
Taiwan,TransAsia Telecommunications,466-99,TransAsi
Tanzania,MIC Tanzania Ltd (Mobitel),640-02,MOBITEL
Tanzania,Vodacom Tanzania,640-04,VODACOM
Tanzania,Celtel,640-05,CELTEL
Tanzania,Zantel,640-03,ZANTEL-TZ
Thailand,Total Access Communications,520-18,TH DTAC
Thailand,Advanced Info Service,520-01,TH AIS
Thailand,TA Orange Company,520-99,TH Orange
Togo,Togo Telecom (TOGOCEL),615-01,TG TOGOCEL
Trinidad & Tobago,TSTT,374-12,TSTT
Tunisia,Tunisie Telecom (TUNTEL),605-02,TUNTEL
Tunisia,Orascom / Tunisiana,605-03,TUNISIANA
Turkey,Aycell,286-04,TR AYCELL
Turkey,Telsim,286-02,TR TELSIM
Turkey,Aria,286-03,ARIA
Turkey,Turkcell,286-01,TCELL
Turkmenistan,Barash Comm Tech Inc,438-01,BCTI
Uganda,MTN Uganda,641-10,MTN-UGANDA
Uganda,Clovergem Celtel,641-01,UG CelTel
Uganda,Uganda Telecom (mango),641-11,mango
Ukraine,Golden Telecom,255-05,UA-GT
Ukraine,Kyivstar,255-03,UA-KS
Ukraine,UMC (Ukrainian Mob Com),255-01,UMC
